Sage Cover Expiry Listing (Detail) From Expiry Date 01/01/2021 To 31/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,

No.,MyAppID No.,Expiry Date,,Acc Code,Licensee Name,Email,Contact No.,"Acc:1, Inv:2, 1Acc:5",Product Name,Total Users,Main License Price,CU Price,Total Price,,,,,,,,,,,,,
138,N090000483653,17-03-21,,300M/361,Lotus Five Star AV (M) Sdn Bhd,dhanaletchumi@lotusfivestar.com,60379491805,2,Upg - Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
139,N150000092815,17-03-21,,300D/096,DUTA KLASIK SDN BHD,azianms@dutaklasik.com.my,3512166850,11,Upg - Sage Payroll Premium MY,3,650,80,810,,,,,,,,,,,,,
140,N150000093028,17-03-21,,300K/006,KOPERASI PUSAT PERUBATAN UNIVERSITI MALAYA BERHAD,admin@kppumb.com.my,379493269,11,Upg - Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
141,N420000446733,17-03-21,,300J/158,JMB SABADELL,sabadell.diamondcity@gmail.com,60189795977,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
142,N440000024075,17-03-21,,300J/158,JMB SABADELL,sabadell.diamondcity@gmail.com,60189795977,4,Sage BSM MY,1,"1,000.00",0,"1,000.00",,,,,,,,,,,,,
143,N080002003582,18-03-21,,300T/048,TAHB AUTO SDN BHD,ema_tahb@yahoo.com,321666300,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
144,N080002004412,18-03-21,,300V/067,Vinx Malaysia Sdn Bhd,low.angel@my.vinx.aisa,6019330,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
145,N080002006960,18-03-21,,300A/291,AKARUMI F&B MANAGEMENT SDN BHD,akarumi@streamyx.com,378809822,1,Upg - Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
146,N080002010250,18-03-21,,300W/138,Win Loong Sdn Bhd,wloongsb@gmail.com,60362854420,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
147,N090000492248,18-03-21,,300W/138,Win Loong Sdn Bhd,wloongsb@gmail.com,60362854420,2,Upg - Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
148,N420000447754,18-03-21,,303A/082,ALLIED GROUP PROPERTY SERVICES (KL) SDN BHD,lee@allied.com.my,6039200,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
149,N440000024121,18-03-21,,303A/082,ALLIED GROUP PROPERTY SERVICES (KL) SDN BHD,lee@allied.com.my,6039200,4,Sage BSM MY,2,"1,000.00",80,"1,080.00",,,,,,,,,,,,,
150,N540000078996,18-03-21,,300U/039,ULTIMATE ESSENCE SDN BHD,susan_acca@yahoo.com,3238047480,1,Upg - Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
151,S43000150525,18-03-21,,,SIERRA TEGUH SDN BHD,sierrateguh@yahoo.com,30,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
152,N080002028638,19-03-21,,300S/140,SAFFRON INTEGRATED MARKETING,acc.ikmsb@gmail.com,355188404,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
153,N080002029931,19-03-21,,300S/156,SENAWANG LAND SDN BHD,senawangconstructionsdnbhd@gmail.com,362016188,1,Upg - Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
154,N090000501897,19-03-21,,300N/127,NATIONAL CANCER SOCIETY OF MALAYSIA,contact@cancer.org.my,32698,2,Upg - Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
155,N150000031955,19-03-21,,300N/127,NATIONAL CANCER SOCIETY OF MALAYSIA,contact@cancer.org.my,32698,11,Upg - Sage Payroll Premium MY,3,650,80,810,,,,,,,,,,,,,
156,N150000126819,19-03-21,,300L/025,LIGHT & POWER CONSTRUCTION SDN BHD,rama@lpc.com.my,379823488,11,Upg - Sage Payroll Premium MY,2,650,80,730,,,,,,,,,,,,,
157,N370000042475,19-03-21,,300E/270,Elite Mobile Global Sdn Bhd,eric@elite.com.my,6032201,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
158,N080002938447,20-03-21,,,Suria Kren Sdn Bhd,chiew83@yahoo.com,60379725836,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
159,N110000005128,20-03-21,,300H/122,H Travel Sdn Bhd,wykok@holidaytours.net,60327133910,6,Sage Payroll 15 MY,1,150,0,150,,,,,,,,,,,,,
160,N420000449247,21-03-21,,300K/268,KBR Group Sdn Bhd,kbr_catering@yahoo.com,60361445248,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
161,S09000217327,21-03-21,,300T/130,TECHNINIER SDN BHD,meiz@techninier.com,60377273913,1,Sage UBS Accounting & Billing MY,9,400,80,"1,040.00",,,,,,,,,,,,,
162,N080002078197,23-03-21,,300C/300,CK GALVANIZING SDN BHD,ana@ckgalvanizing.com,6072541010,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
163,N080002082719,23-03-21,,300K/181,KITTON ENTERPRISE,kittonacct@gmail.com,1128158872,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
164,N080002086720,23-03-21,,300R/120,LIM CHUN KEAT,gtrightway@gmail.com,126146627,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
165,N080002942898,23-03-21,,300P/352,PEMBINAAN ZMS SDN BHD,pzmssb@yahoo.com,6019208,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
166,N090000525940,23-03-21,,300C/300,CK GALVANIZING SDN BHD,ana@ckgalvanizing.com,6072541010,2,Upg - Sage UBS Inventory & Billing MY,6,400,80,800,,,,,,,,,,,,,
167,N400000016834,23-03-21,,300S/532,SPRINTZ DESIGNS SDN BHD,fisa@sprintzdesigns.com,60323804567,11,Sage Payroll Premium MY,3,650,80,810,,,,,,,,,,,,,
168,N080002103074,24-03-21,,300P/311,Prima Synergy Sdn Bhd,psysb_13@yahoo.com,60378476464,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
169,N080002105495,24-03-21,,300K/213,KOPERASI WAWASAN MALAYSIA BERHAD,ezril.zakaria@kowamas.com,378038482,1,Upg - Sage UBS Accounting & Billing MY,10,400,80,"1,120.00",,,,,,,,,,,,,
170,N080002108535,24-03-21,,300A/293,Age D'or Sdn Bhd,ailian@agedorgroup.com.my,60351217212,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
171,N090000539866,24-03-21,,300A/293,Age D'or Sdn Bhd,ailian@agedorgroup.com.my,60351217212,2,Upg - Sage UBS Inventory & Billing MY,6,400,80,800,,,,,,,,,,,,,
172,N360000081798,24-03-21,,300S/446,SQ Engineering Sdn Bhd,sqengineeringsdnbhd@gmail.com,60392826696,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
173,N420000605649,24-03-21,,30J1/P76,PENGANGKUTAN SEMPURNA SDN. BHD.,taufik.chinbee@gmail.com,60197101512,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
174,N080002136349,25-03-21,,300V/049,VLEE RENOVATION & CONSTRUCTION SDN BHD,vleerenovation@gmail.com,355252859,1,Upg - Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
175,N080002140244,25-03-21,,300T/293,TOO SIEW CHIN,toosc@hotmail.com,60197507102,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
176,N080002153048,26-03-21,,300W/096,WINBOND PROPERTIES SDN. BHD.,amira@goldstone.my,327135555,1,Upg - Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
177,N080002163290,26-03-21,,300A/292,AVERWIN MARKETING,averwin17@gmail.com,60387241131,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
178,N080002164025,26-03-21,,300D/153,JPS HARDWARE & TIMBER TRADING,dpstimber@gmail.com,75204989,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
179,N090000562548,26-03-21,,300N/062,NEW MACHINERY PARTS SUPPLY SDN BHD,nmps66@gmail.com,98481728,2,Upg - Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
180,S09001190525,26-03-21,,300T/165,SHIBAURA MACHINE SINGAPORE PTE LTD,annieliew@shibaura-m.com.my,378037544,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
181,S12000453445,26-03-21,,300T/165,SHIBAURA MACHINE SINGAPORE PTE LTD,annieliew@shibaura-m.com.my,378037544,2,Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
182,N080002188112,27-03-21,,300O/024,CAPVENT CONSULTING SDN BHD,estherchuah@capventconsulting.com,392269833,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
183,N080002195817,27-03-21,,300A/392,A. RAHMAN ENTERPRISE,account_a.rahmanenterprise@yahoo.com,73550961,1,Upg - Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
184,N360000059955,27-03-21,,300C/059,CHINA POTTERY (M) SDN BHD,mereenteo@chinapottery.com.my,321421799,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
185,N150000095478,28-03-21,,300J/152,JAKEL PROPERTIES SDN BHD,zailina@jakel.my,326912109,11,Upg - Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
186,N420000097126,28-03-21,,300T/317,TROPICAL PROFILE (M) SDN BHD,info@t-profile.com,361408866,1,Upg - Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
187,N080002204372,29-03-21,,,CK Bodyworks Sdn Bhd,ckbody1@yahoo.com,60123196698,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
188,N080002207041,29-03-21,,300T/260,TOONG MENG BUILDING CONSTRUCTION,sineohrkl@gmail.com,60356331294,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
189,N080002219623,29-03-21,,301S/001,SJ ALQODWAH SDN BHD,acc2@sabaholdings.com.my,383202544,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
190,N080001850268,30-03-21,,300L/012,LEGEND METAL INDUSTRIES (M) SDN BHD,metallegend_ind@yahoo.com,60387346666,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
191,N080002267250,30-03-21,,300C/271,CK LEE & ASSOCIATES,yumi@ckleelawyers.com,390580922,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
192,N080002281339,30-03-21,,300C/029,CHAO S CAR SERVICE CENTRE,emilylmy903@gmail.com,60127999522,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
193,N080002284298,30-03-21,,300S/435,SEM MATIC SDN BHD,alice@semmatic.com.my,6078612949,1,Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
194,N080002288882,30-03-21,,300M/351,MAKOYAMA ENGINEERING WORKS,makoyama7929@yahoo.com,6075201786,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
195,N400000019668,30-03-21,,300A/133,ASIAN OFFSHORE SERVICES SDN BHD,sales@asianos.com.my,362593560,11,Upg - Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
196,N400000020273,30-03-21,,300C/153,NEW RESTAURANT IPOH CHICKEN RICE SDN BHD,cherylkhoo3833@yahoo.com,377722728,11,Upg - Sage Payroll Premium MY,3,650,80,810,,,,,,,,,,,,,
197,N420000103697,30-03-21,,300F/075,FIVE IDEAS SDN BHD,evlinlim.tdh@hotmail.com,122340322,1,Upg - Sage UBS Accounting & Billing MY,6,400,80,800,,,,,,,,,,,,,
198,N420000104464,30-03-21,,300C/153,NEW RESTAURANT IPOH CHICKEN RICE SDN BHD,cherylkhoo3833@yahoo.com,377722728,1,Upg - Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
199,S60000018386P,31-03-21,,,PC MART SDN BHD,sales@pcmart.com.my,60321457670,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
Expiry Date : April 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N0800002305947,01-04-21,,300A/017,Apiit Sdn Bhd,csf@apu.edu.my,60389961000,1,Upg - Sage UBS Accounting & Billing MY,9,400,80,"1,040.00",,,,,,,,,,,,,
201,N1000000099381,01-04-21,,300Y/004,Yong Fong Thai Sdn Bhd,yetyeec@yahoo.com,60320788100,3,Upg - Sage POS MY,1,200,0,200,,,,,,,,,,,,,
202,N0800002313154,02-04-21,,300Z/035,ZA Contract Interior Sdn Bhd,admin@zuryatiawang.com,60341075657,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
203,N0800002315813,02-04-21,,300P/316,KOPERASI KAKITANGAN BANK PERTANIAN MALAYSIA BERHAD,syakirin@koopbpm.com.my,387332597,1,Upg - Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
204,N0800002316598,02-04-21,,300E/240,NEW HUP LEE COACH BUILDERS,newhuplee@gmail.com,342926788,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
205,N420000452414,02-04-21,,300G/050,Green Environment Engineering & Construction Sdn Bhd,accsoundenv@gmail.com,6075539802,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
206,N0800002323642,03-04-21,,300N/030,NEO CORPORATION SDN BHD,neogeneralagencies@gmail.com,6074341681,1,Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
207,N0800002323758,03-04-21,,300M/329,MCRM SDN BHD,unknown32103@sage.my,75588996,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
208,N360000061011,03-04-21,,300S/550,SHIVJI ENTERPRISE SDN BHD,shivjient.pkeh@gmail.com,60362512202,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
209,N360000061191,03-04-21,,300L/282,Lion Pacific Sdn Bhd,rosnah@lionpacsmy.com,60122295783,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
210,N420000308125,03-04-21,,300E/272,Ezas Home Sdn Bhd,zaihansalim1979@gmail.com,60133998242,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
211,N420000308232,03-04-21,,300P/384,PERTUBUHAN KEBAJIKAN ERTH UL MUSTAFA JOHOR BAHRU,erthulmustafamalaysia@gmail.com,60182784768,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
212,N150000096890,04-04-21,,300A/327,Aset Kayamas Sdn Bhd,carolchan@asetkayamas.com,60379899888,11,Sage Payroll Premium MY,6,650,80,"1,050.00",,,,,,,,,,,,,
213,N370000045577,04-04-21,,300J/154,Jet Premier One (M) Sdn Bhd,eszrul.eshkak@jetpremierone.com.my,6037859,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
214,N0800002336187,05-04-21,,300C/037,Chanthiran & Co,yashsuba76@gmail.com,60327755678,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
215,N0900000636292,05-04-21,,300S/140,SAFFRON INTEGRATED MARKETING,acc.ikmsb@gmail.com,355188404,1,Upg - Sage UBS Inventory & Billing MY,5,400,80,720,,,,,,,,,,,,,
216,N0800002345128,06-04-21,,30J1/K04,KOPERASI PEKEBUN KECIL DAERAH BATU PAHAT (KOPDAB),kopdab@gmail.com,6074355501,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
217,N360000015581,06-04-21,,300K/247,KOLEKSI IMPRESIF SDN BHD,kol_imp@yahoo.com,391716625,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
218,N430000018599,06-04-21,,300M/353,My Sunrise Sdn Bhd,mysunrise2516@gmail.com,60392215177,2,Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
219,N550000005950,06-04-21,,300J/001,JKY SINK SDN BHD,wkl@jkysink.com.my,360212728,2,Upg - Sage UBS Inventory & Billing MY,5,400,80,720,,,,,,,,,,,,,
220,S12001286887,07-04-21,,300W/097,WAM BULK SOLID HANDLING (M) SDN BHD,amirah.ashnur@wamgroup.com,377340456,2,Sage UBS Inventory & Billing MY,2,400,80,480,,,,,,,,,,,,,
221,N0800002360860,08-04-21,,301S/009,SHIPS CLASSIFICATION (MALAYSIA) SDN BHD,masrina@myscm.com.my,355138170,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
222,N380000030318,08-04-21,,300J/070,JURUDATA SERVICES SDN BHD,lumpc@jds.com.my,0,9,Upg - Sage Payroll 100 MY,1,550,0,550,,,,,,,,,,,,,
223,N0800002368839,09-04-21,,300K/006,KOPERASI PUSAT PERUBATAN UNIVERSITI MALAYA BERHAD,admin@kppumb.com.my,379493269,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
224,N0800002372691,09-04-21,,300K/247,KOLEKSI IMPRESIF SDN BHD,kol_imp@yahoo.com,391716625,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
225,N350000048715,09-04-21,,300T/087,Tesec (M) Sdn Bhd,suzylim@tesec.com.my,6032144,6,Sage Payroll 15 MY,1,150,0,150,,,,,,,,,,,,,
226,N0800002376540,10-04-21,,300S/432,Semiconductor Technologies & Instruments Sdn Bhd,mookyinlai@stigp.com,60379725196,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
227,N0800002384983,12-04-21,,300L/025,LIGHT & POWER CONTRUCTION SDN BHD,rama@lpc.com.my,379823488,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
228,N0800002388638,12-04-21,,300W/140,WESTERLY SDN BHD,unity@unity88.com,36275,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
229,N080002975639,12-04-21,,300N/007,NAGANO BUILDERS SDN BHD,ngnbhiiph@gmail.com,380807792,1,Upg - Sage UBS Accounting & Billing MY,6,400,80,800,,,,,,,,,,,,,
230,N1300000028613,12-04-21,,300G/120,GEN GOLDEN SDN BHD,chewkath@gmail.com,32260,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
231,N420000313556,12-04-21,,300R/144,Rapid Tag Services,rapidtagservices@gmail.com,60149316507,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
232,P60401000634,12-04-21,,300N/041,NUGRAHAN SDN BHD,yanti.nugrahan@gmail.com,321662740,9,Sage Payroll 100 MY,1,550,0,550,,,,,,,,,,,,,
233,N080002976261,13-04-21,,300M/331,Malaysian Palm Oil Certification Council,faranuratika@mpocc.org.my,60321810192,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
234,N080002976533,13-04-21,,300H/067,Hitts Technologies Sdn Bhd,veneslai@hitts.com,60379568097,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
235,N440000037055,13-04-21,,,NSA FACILITIES MANAGEMENT SDN BHD,nsa.fsdn@gmail.com,60102228435,4,Sage BSM MY,2,"1,000.00",80,"1,080.00",,,,,,,,,,,,,
236,N0800002409929,14-04-21,,300E/008,EPOCHAL SYSTEM & TECHNOLOGY SDN BHD,oscar.law@epochaltech.com,220226160,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
237,N080002979610,14-04-21,,300N/127,NATIONAL CANCER SOCIETY OF MALAYSIA,contact@cancer.org.my,32698,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
238,N0800002413175,15-04-21,,300Z/045,ZILLION CREATIONS SDN BHD,reazal.zillion@gmail.com,69727192,1,Upg - Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
239,N400000069830,15-04-21,,300J/116,JAKEL TRADING SDN BHD,sharifahnor.ismail01@gmail.com,355240505,11,Sage Payroll Premium MY,2,650,80,730,,,,,,,,,,,,,
240,N420000459051,15-04-21,,300H/129,Hyba Quest Sdn Bhd,hybaquest@gmail.com,60174928129,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
241,N420000459370,15-04-21,,300P/386,Pournamis Jewels (M) Sdn Bhd,pournami.jewels@gmail.com,60322763996,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
242,N0800002426899,16-04-21,,300Z/036,Zoom Nine G Sdn Bhd,account@9g.my,60387878476,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
243,N420000113656,16-04-21,,300D/155,Danevin Sdn Bhd,danevinhaircare@yahoo.com,60123266288,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
244,N420000315923,16-04-21,,300M/375,Md Mamonur Rashid,mamonacca@gmail.com,60166729620,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
245,N0800002441344,19-04-21,,300C/136,CERAH ALAM SDN BHD,cerah.alam@gmail.com,341496560,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
246,N0800002444372,19-04-21,,,KULIM TOPPLANT SDN BHD,mohdfadzli@kulim.com.my,6078622000,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
247,N0800002457172,21-04-21,,300T/267,Tan Chi Cheang,chicheangtan@hotmail.com,60124800759,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
248,N0800002463242,21-04-21,,300P/112,PALM BEACH HOLIDAYS SDN BHD,khatereh@palmbeach.com.my,321640885,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
249,S60000086394,21-04-21,,300E/192,EOP MANAGEMENT SERVICES SDN BHD,peggy.ng@eop.com.my,380709899,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
250,N0800002465050,22-04-21,,300T/263,TEX-CRETE SDN BHD,texcrete@gmail.com,387395805,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
251,S45000245643,22-04-21,,300C/237,CHEERFUL MARKETING SDN BHD,vivian.loh@cheerful.com.my,321419928,1,Sage UBS Accounting & Billing MY,7,400,80,880,,,,,,,,,,,,,
252,S43000144774,23-04-21,,300K/244,KUALA LUMPUR METROPOLITAN (M) SDN BHD,accounts@klmetropolitan.com,321447768,9,Sage Payroll 100 MY,1,550,0,550,,,,,,,,,,,,,
253,S45000248227,23-04-21,,300G/133,GORGEOUS TIMES SDN BHD,janettwt@hotmail.com,30,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
254,N420000464717,24-04-21,,300K/031,Keen Ventures Sdn Bhd,lim_ya@yahoo.com,60122596236,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
255,N420000464860,24-04-21,,300J/122,J & J Sales And Services,mayloh523@gmail.com,60122273631,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
256,S45000256532,24-04-21,,300B/215,BONG LIK TING,winter8212@yahoo.com,123383871,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
257,N080002995481,25-04-21,,300P/234,PERNIAGAAN LETRIK DUNIA BINTANG SDN. BHD.,duniabintang@dbintang.com,32057,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
258,N420000320315,25-04-21,,300C/295,Cheang Fong Marine Sdn Bhd,shiraadnan94@gmail.com,6056910695,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
259,N090000775010,26-04-21,,300P/144,PARALLEL ATTEMPT SDN BHD,parallelattempt83@gmail.com,60389614171,1,Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
260,N420000320766,26-04-21,,,Sifoo International Sdn Bhd,admin@sifoo.my,60192510699,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
261,N1200000036026,27-04-21,,300S/501,Strass Media Sdn Bhd,joanne@strassmedia.com.my,60322879808,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
262,N420000321132,27-04-21,,300N/160,Ng Kah Chun,gynen2@gmail.com,60133989130,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
263,N1200000036132,28-04-21,,300R/123,Rethink Sdn Bhd,joanne@rethink.com.my,60379548113,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
264,N420000609257,28-04-21,,30J2/A09,ABIL HASANSHAZZALI B AHMAD DAILAMI,abil_hasan@yahoo.com,60197880136,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
265,N420000321880,29-04-21,,300N/162,Nur Asiah Binti Abd Rashid,nurasiahabdrashid@gmail.com,60145073793,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
266,N420000466678,29-04-21,,300T/341,Takeda Precision (M) Sdn Bhd,lam.peipei75@gmail.com,60124100788,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
267,N420000467837,30-04-21,,300A/004,Amazing Hub Sdn Bhd,accounts@citinlangkawi.com,60326126836,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
268,PUL300902038,30-04-21,,300H/014,HIJJAS KASTURI ASSOCIATES SDN,hkas@hijjas.com,321418840,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
269,S60000016745,30-04-21,,300M/371,MALAYSIAN MEDICAL ASSOCIATION,finance@mma.org.my,340411375,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
Expiry Date : May 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
270,N420000467562,01-05-21,,300I/155,Izzat Business Solutions,izzatbusiness01@gmail.com,6.01E+11,1,Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
271,N390000005089,02-05-21,,300P/385,PERBADANAN PERPUSTAKAAN AWAM JOHOR,ppaj@johor.gov.my,72279261,10,Sage Payroll 150 MY,1,600,0,600,,,,,,,,,,,,,
272,N400000055863,02-05-21,,300J/156,Jakel Trading Sdn Bhd (Johor Bahru),jakeljb@yahoo.com,6072440687,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
273,N540000093175,02-05-21,,300J/154,JET PREMIER ONE (M) SDN BHD,unknown23124@sage.my,378483319,1,Upg - Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
274,N400000055943,03-05-21,,300A/035,ASIAN FOOTBALL CONFEDERATION,yvonne.chong@the-afc.com,389943388,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
275,N420000323483,03-05-21,,300S/556,SEN KEE FOOD TRADING SDN BHD,senkee@dlaksa.com,60125942363,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
276,N420000610076,03-05-21,,300B/214,Brightbeam Consulting Sdn Bhd,scteh@hikaray.com,6073607760,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
277,N0800002512786,05-05-21,,300A/350,ANTARA CONSOLIDATED SDN BHD,deepa@antaraconsolidated.com,320957389,1,Upg - Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
